"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"04289","STANDARD","WEST PARIS","ME","PRIMARY",44.32,-70.57,"NA-US-ME-WEST PARIS","false",801,1415,20477270
"04290","STANDARD","PERU","ME","PRIMARY",44.50,-70.40,"NA-US-ME-PERU","false",743,1337,25124659
"04291","PO BOX","WEST POLAND","ME","PRIMARY",44.05,-70.45,"NA-US-ME-WEST POLAND","false",,,
"04865","PO BOX","WEST ROCKPORT","ME","PRIMARY",44.19,-69.15,"NA-US-ME-WEST ROCKPORT","false",,,
"04576","STANDARD","SOUTHPORT","ME","PRIMARY",43.84,-69.65,"NA-US-ME-SOUTHPORT","false",328,556,6274639
"04292","STANDARD","SUMNER","ME","PRIMARY",44.39,-70.43,"NA-US-ME-SUMNER","false",371,678,10918039
"04691","STANDARD","WHITING","ME","PRIMARY",44.79,-67.17,"NA-US-ME-WHITING","false",,,
"04294","STANDARD","WILTON","ME","PRIMARY",44.59,-70.23,"NA-US-ME-WILTON","false",1551,2806,51549205
"04363","STANDARD","WINDSOR","ME","PRIMARY",44.31,-69.58,"NA-US-ME-WINDSOR","false",1153,2013,37462998
"04495","STANDARD","WINN","ME","PRIMARY",45.48,-68.37,"NA-US-ME-WINN","false",,,
"04693","STANDARD","WINTER HARBOR","ME","PRIMARY",44.39,-68.08,"NA-US-ME-WINTER HARBOR","false",263,415,5123413
"04496","STANDARD","WINTERPORT","ME","PRIMARY",44.65,-68.85,"NA-US-ME-WINTERPORT","false",1800,3247,68439335
"04364","STANDARD","WINTHROP","ME","PRIMARY",44.31,-69.96,"NA-US-ME-WINTHROP","false",2892,5014,108279671
"04578","STANDARD","WISCASSET","ME","PRIMARY",44.01,-69.67,"NA-US-ME-WISCASSET","false",2252,3806,67647961
"04694","STANDARD","BAILEYVILLE","ME","PRIMARY",45.09,-67.46,"NA-US-ME-BAILEYVILLE","false",1132,2014,34263926
"04579","STANDARD","WOOLWICH","ME","PRIMARY",43.96,-69.78,"NA-US-ME-WOOLWICH","false",1578,2830,59007952
"04497","STANDARD","WYTOPITLOCK","ME","PRIMARY",45.64,-68.07,"NA-US-ME-WYTOPITLOCK","false",,,
